,"('GLD', 'open')","('GLD', 'high')","('GLD', 'low')","('GLD', 'close')","('GLD', 'volume')",Close
2018-08-21,112.77,113.1,112.44,113.02,3859967,6399.665961538479
2018-08-22,113.39,113.49,113.07,113.27,5482321,6578.93065263159
2018-08-23,112.68,112.88,112.06,112.2,4691919,6433.59128985508
2018-08-24,113.25,114.42,113.21,114.14,6970086,6552.552062812305
2018-08-27,114.12,114.78,114.12,114.58,3608255,6713.404940209257
2018-08-28,114.76,114.8666,113.55,113.7,5086606,6988.193763440868
2018-08-29,114.16,114.21,113.85,114.2,3337311,7049.201741007193
2018-08-30,113.92,113.93,113.24,113.63,4618122,6926.345320560059
2018-08-31,113.72,114.06,113.44,113.5,4188993,6979.515892473139
2018-09-04,112.75,113.07,112.61,112.93,5681155,7322.942907063195
2018-09-05,113.36,113.44,113.12,113.31,3246768,7112.407442719887
2018-09-06,113.89,114.26,113.28,113.54,4228185,6421.566614950644
2018-09-07,113.26,113.6,112.97,113.22,3164050,6443.379818445927
2018-09-10,113.26,113.43,113.0,113.155,2034455,6287.451192930781
2018-09-11,112.65,113.37,112.42,113.22,3196619,6289.720114285719
2018-09-12,113.12,114.39,113.055,114.17,5368993,6267.861665433026
2018-09-13,114.72,114.78,113.58,113.76,4408720,6441.617818181825
2018-09-14,113.79,113.9,112.91,113.01,4797014,6500.131865889239
2018-09-17,113.6,114.03,113.55,113.61,3872536,6387.490205371261
2018-09-18,113.79,113.91,113.275,113.43,3875108,6297.308249056616
2018-09-19,113.94,114.15,113.68,113.9,3620375,6336.368052434459
2018-09-20,114.21,114.37,113.855,114.26,3975432,6412.342884333824
2018-09-21,112.8701,113.68,112.79,113.48,5792676,6659.220299572041
2018-09-24,113.68,113.96,113.43,113.47,3727806,6634.44664591439
2018-09-25,113.75,113.885,113.57,113.65,2459060,6412.626680942187
2018-09-26,113.11,113.6,112.66,113.05,7253624,6462.996850220276
2018-09-27,112.1,112.4156,111.8499,112.06,5850575,6521.875486211904
2018-09-28,112.16,113.0,112.07,112.77,5039981,6666.001017441856
2018-10-01,112.4,112.62,112.15,112.57,3261033,6574.212947845811
2018-10-02,113.7,114.33,113.61,113.86,7944950,6540.448741366064
2018-10-03,113.87,114.05,113.26,113.41,5802238,6447.402578524469
2018-10-04,113.83,114.19,113.255,113.48,5849261,6547.158526551972
2018-10-05,113.81,114.1,113.57,113.83,6707890,6544.634546839298
2018-10-08,112.25,112.59,111.9,112.53,10451750,6588.198555643252
2018-10-09,112.37,112.67,111.97,112.62,6011172,6587.047837626855
2018-10-10,112.47,112.96,112.25,112.88,9366720,6515.385291411043
2018-10-11,114.2,116.04,114.09,115.73,22555639,6213.398266475648
2018-10-12,115.58,115.71,115.08,115.24,10359629,6201.330185328173
2018-10-15,116.12,116.53,115.89,115.94,9993011,6375.915151515143
2018-10-16,116.49,116.6,115.82,115.87,7401209,6437.897811550148
2018-10-17,115.89,116.33,115.68,115.76,6265117,6438.395173775681
2018-10-18,115.83,116.41,115.63,115.9,6926505,6425.849136807825
2018-10-19,116.23,116.24,115.96,116.015,6295439,6385.537317487259
2018-10-22,115.57,115.7789,115.43,115.69,4397960,6404.979250996003
2018-10-23,117.16,117.25,116.33,116.37,10692580,6395.231764234161
2018-10-24,116.38,116.72,116.1101,116.64,7532828,6425.475460992908
2018-10-25,116.58,116.73,116.19,116.39,7022619,6400.670389926894
2018-10-26,116.83,117.65,116.46,116.73,13715696,6401.020234657028
2018-10-29,116.41,116.54,115.84,116.3,7370729,6325.243846761466
2018-10-30,115.85,116.04,115.635,115.78,5728555,6264.282793076326
2018-10-31,114.89,115.17,114.66,115.14,8829135,6277.983404423378
2018-11-01,116.33,117.07,116.18,116.66,10781881,6311.7777797356775
2018-11-02,116.61,116.98,116.39,116.65,5395186,6351.691101766193
2018-11-05,116.28,116.67,116.23,116.38,5888515,6404.265751211624
2018-11-06,116.44,116.69,115.74,116.49,6867144,6413.3648218347325
2018-11-07,116.26,116.345,115.9,116.01,7036469,6506.953637759035
2018-11-08,115.77,116.15,115.5,115.77,6570094,6448.523554868636
2018-11-09,114.6,114.75,114.14,114.48,10247619,6365.227866666656
2018-11-12,114.01,114.05,113.58,113.66,6050583,6350.391491754116
2018-11-13,113.72,113.93,113.42,113.68,6235021,6289.831622418876
2018-11-14,113.53,115.06,113.46,114.65,13418422,6006.550893118598
2018-11-15,114.83,114.99,114.56,114.76,8450656,5494.598483577921
2018-11-16,115.83,115.88,115.37,115.57,7717475,5530.669472934485
2018-11-19,115.45,115.92,115.37,115.67,6812264,5200.096306179772
2018-11-20,115.94,115.95,115.37,115.62,7668524,4529.77100488486
2018-11-21,115.94,116.35,115.7572,115.87,7629814,4447.306943078006
2018-11-23,115.76,115.88,115.585,115.74,3183021,4248.274685264663
2018-11-26,115.84,116.0053,115.53,115.63,3619530,3851.038244755244
2018-11-27,115.55,115.8502,114.6,114.94,8115590,3702.977810320785
2018-11-28,114.76,116.07,114.59,115.4,12166683,4057.5387753673895
2018-11-29,115.97,116.24,115.56,115.73,5957495,4225.080133614636
2018-11-30,115.42,115.66,115.04,115.53,6856853,4074.664711332861
2018-12-03,116.6,116.77,116.295,116.39,7901931,3924.323887688984
